Country,Disaster Type,Total Deaths,Disaster_Occurred
Romania,Earthquake,,1
Bulgaria,Earthquake,107.0,1
Romania,Storm,6.0,1
Poland,Storm,82.0,1
Indonesia,Earthquake,128.0,1
Puerto Rico,Storm,300.0,1
United States Of America,Storm,1836.0,1
Guadeloupe,Storm,2000.0,1
Montserrat,Storm,,1
Saint Kitts And Nevis,Storm,,1
India,Flood,36.0,1
Brazil,Air,10.0,1
Canada,Water,115.0,1
Belgium,Flood,,1
Brazil,Air,14.0,1
Canada,Earthquake,27.0,1
China,Drought,3000000.0,1
Mexico,Wildfire,60.0,1
Germany Federal Republic,Storm,,1
Bahamas,Storm,48.0,1
United States Of America,Air,14.0,1
Belgium,Explosion (Industrial),20.0,1
Belgium,Rail,10.0,1
Belgium,Rail,10.0,1
Iran (Islamic Republic Of),Earthquake,3253.0,1
New Zealand,Earthquake,17.0,1
Belgium,Explosion (Industrial),18.0,1
Niger,Infestation,,1
Indonesia,Volcanic activity,1369.0,1
France,Flood,230.0,1
United States Of America,Air,16.0,1
Myanmar,Earthquake,500.0,1
Greece,Storm,22.0,1
Italy,Earthquake,1883.0,1
Dominican Republic,Storm,2000.0,1
Japan,Earthquake,259.0,1
Belgium,Storm,60.0,1
United States Of America,Fire (Miscellaneous),317.0,1
Myanmar,Earthquake,36.0,1
Belgium,Explosion (Industrial),12.0,1
Belgium,Explosion (Industrial),13.0,1
Czechoslovakia,Air,12.0,1
Iran (Islamic Republic Of),Earthquake,1360.0,1
France,Air,48.0,1
France,Mass movement (wet),40.0,1
Nicaragua,Earthquake,1000.0,1
China,Earthquake,42.0,1
Myanmar,Earthquake,50.0,1
China,Earthquake,200.0,1
Soviet Union,Earthquake,151.0,1
Italy,Earthquake,18.0,1
Albania,Earthquake,35.0,1
Albania,Earthquake,25.0,1
Taiwan (Province Of China),Earthquake,4.0,1
Taiwan (Province Of China),Earthquake,,1
Nicaragua,Earthquake,1000.0,1
New Zealand,Earthquake,256.0,1
Ecuador,Mass movement (wet),190.0,1
Fiji,Storm,200.0,1
China,Flood,3700000.0,1
Philippines,Storm,,1
Belize,Storm,1500.0,1
Honduras,Storm,1500.0,1
Solomon Islands,Earthquake,50.0,1
Indonesia,Volcanic activity,1300.0,1
France,Water,500.0,1
Belgium,Explosion (Industrial),17.0,1
Albania,Earthquake,90.0,1
Armenia,Earthquake,2890.0,1
China,Earthquake,10000.0,1
Canada,Drought,,1
United States Of America,Storm,40.0,1
Philippines,Storm,147.0,1
Puerto Rico,Storm,257.0,1
United States Virgin Islands,Storm,15.0,1
Cuba,Storm,2500.0,1
Cayman Islands,Storm,110.0,1
