Country,Predicted_Disaster_Risk,Historical_Risk,Combined_Risk,Year
Armenia,0.41091012514220704,253.08333333333334,0.2894250278353587,2026
Australia,0.38745449374288965,19.78481012658228,0.27135791799308795,2026
Austria,0.3601023890784983,68.44444444444444,0.2525552070647551,2026
Azerbaijan,0.5092121729237771,34.52173913043478,0.35669240437783223,2026
Azores Islands,0.5073606370875996,48.85714285714285,0.3554976036229114,2026
Bahamas,0.5220875995449374,48.04347826086956,0.36580072910332406,2026
Bahrain,0.4258589306029579,50.85714285714285,0.29846053834466313,2026
Bangladesh,0.439792377701934,5494.018248175183,0.34666787327725707,2026
Barbados,0.47774744027303756,15.5,0.33453270996388274,2026
Belarus,0.4867576791808874,18.0,0.34085753877562863,2026
Belgium,0.47348691695108075,71.99159663865547,0.33194943589514364,2026
Belize,0.45001422070534697,171.0909090909091,0.3162186485484505,2026
Benin,0.49328213879408417,36.271186440677965,0.345553739685874,2026
Bermuda,0.4810722411831627,16.666666666666668,0.3368683126698875,2026
Bhutan,0.489792377701934,39.25,0.34313195113849515,2026
Bolivia (Plurinational State Of),0.4601393629124005,29.56153846153846,0.3223063953849349,2026
Bosnia And Herzegovina,0.4743714448236632,59.72222222222222,0.332481926809228,2026
Botswana,0.47456200227531287,88.375,0.3328177383131933,2026
Brazil,0.4272411831626849,52.892682926829266,0.2994424954749332,2026
British Virgin Islands,0.4460978384527873,9.0,0.31233206859145485,2026
Brunei Darussalam,0.41476393629124003,,0.293469098669136,2026
Bulgaria,0.44928612059158135,135.88235294117646,0.31546024302916353,2026
Burkina Faso,0.5183105802047782,287.741935483871,0.36485019659701295,2026
Burundi,0.4537599544937429,34.07692307692308,0.31787270901574965,2026
Cabo Verde,0.4003014789533561,5337.8125,0.31792070826035373,2026
Cambodia,0.4490244596131968,79.02380952380952,0.3148753957442588,2026
Cameroon,0.4716894197952218,82.41584158415841,0.3307648313248282,2026
Canada,0.49224687144482365,378.9872611464968,0.34725021497574143,2026
Canary Islands,0.3687428896473265,59.94736842105263,0.25854352876049563,2026
Cayman Islands,0.5283674630261661,56.0,0.3702528434263396,2026
Central African Republic,0.46957337883959044,36.0,0.32895569188572826,2026
Chad,0.46,224.75999999999996,0.32358784635127363,2026
Chile,0.46976393629123997,542.3805309734513,0.3326664734458152,2026
China,0.476740614334471,7023.609837898267,0.3833376383179712,2026
"China, Hong Kong Special Administrative Region",0.4439163822525597,326.9605263157895,0.31305132288343457,2026
"China, Macao Special Administrative Region",0.4810238907849829,10.0,0.33678736985449215,2026
Colombia,0.4755034129692832,142.88111888111888,0.3338617913888795,2026
Comoros,0.4893742889647326,48.6764705882353,0.3429058835540831,2026
Congo,0.3698976109215017,125.73469387755102,0.2598165967983791,2026
Cook Islands,0.4801393629124004,8.0,0.33615407108268364,2026
Costa Rica,0.49341296928327644,54.087719298245624,0.34577118824974584,2026
Croatia,0.4452559726962457,168.9047619047619,0.31287243061999,2026
Cuba,0.4514647326507395,81.84146341463415,0.31660349255415543,2026
Curaçao,0.5037172923777019,24.0,0.35277165579640135,2026
Cyprus,0.47841012514220704,48.214285714285715,0.33522770371295785,2026
Czechia,0.47031001137656425,54.42857142857143,0.3296015257094033,2026
Czechoslovakia,0.3963367463026166,39.25,0.27771300915897296,2026
Côte D’Ivoire,0.43059442548350396,31.203125,0.3016365363870361,2026
Democratic People'S Republic Of Korea,0.46466723549488054,95.26190476190477,0.32594005500432505,2026
Democratic Republic Of The Congo,0.4786120591581342,90.94207317073169,0.335670913554587,2026
Denmark,0.4632480091012514,44.294117647058826,0.32458652794539444,2026
Djibouti,0.45970989761092157,40.17391304347826,0.3220807421790531,2026
Dominica,0.39918657565415244,21.571428571428577,0.27958299713012996,2026
Dominican Republic,0.45282992036405006,83.37931034482759,0.3175699882738008,2026
Ecuador,0.48203924914675766,133.848,0.3383730610659501,2026
Egypt,0.45785551763367466,76.3048780487805,0.3210379281123662,2026
El Salvador,0.47996871444823663,122.04285714285714,0.33684028780469494,2026
Equatorial Guinea,0.480221843003413,28.0,0.3363530997564007,2026
Eritrea,0.47639647326507395,37.8,0.3337445743184675,2026
Estonia,0.4400199089874858,131.1,0.3089401093498446,2026
Eswatini,0.4150312855517634,70.27272727272727,0.2910183507386727,2026
Ethiopia,0.43015927189988623,3298.0708661417325,0.3244111423634003,2026
Fiji,0.4534015927189989,15.159090909090908,0.3174882082792942,2026
